Date_of_Stay	Bucket	Season
2016-05-04	QRSTY	Low
2016-05-05	ABEF	Low
2016-05-05	CDGH	Low
2016-05-05	IJ	High
2016-05-05	KLZ	Low
2016-05-05	QRSTY	Low
2016-05-06	ABEF	Low
2016-05-06	CDGH	Low
2016-05-06	IJ	High
2016-05-06	KLZ	Low
2016-05-06	QRSTY	Low
2016-05-07	ABEF	Low
2016-05-07	CDGH	Low
2016-05-07	IJ	High
2016-05-07	KLZ	Low
2016-05-07	QRSTY	Low
2016-05-08	ABEF	Low
2016-05-08	CDGH	Low
2016-05-08	IJ	High
2016-05-08	KLZ	Low
2016-05-08	QRSTY	Low
2016-05-09	ABEF	Low
2016-05-09	CDGH	Low
2016-05-09	IJ	High
2016-05-09	KLZ	Low
2016-05-09	QRSTY	Low
2016-05-10	ABEF	Low
2016-05-10	CDGH	Low
2016-05-10	IJ	High
2016-05-10	KLZ	Low
2016-05-10	QRSTY	Low
2016-05-11	ABEF	Low
2016-05-11	CDGH	Low
2016-05-11	IJ	High
2016-05-11	KLZ	Low
2016-05-11	QRSTY	Low
2016-05-12	ABEF	Low
2016-05-12	CDGH	Low
2016-05-12	IJ	High
2016-05-12	KLZ	Low
2016-05-12	QRSTY	Low
2016-05-13	ABEF	Low
2016-05-13	CDGH	Low
2016-05-13	IJ	High
2016-05-13	KLZ	Low
2016-05-13	QRSTY	Low
2016-05-14	ABEF	Low
2016-05-14	CDGH	Low
2016-05-14	IJ	High
2016-05-14	KLZ	Low
2016-05-14	QRSTY	Low
2016-05-15	ABEF	Low
2016-05-15	CDGH	Low
2016-05-15	IJ	High
2016-05-15	KLZ	Low
2016-05-15	QRSTY	Low
2016-05-16	ABEF	Low
2016-05-16	CDGH	Low
2016-05-16	IJ	High
2016-05-16	KLZ	Low
2016-05-16	QRSTY	Low
2016-05-17	ABEF	Low
2016-05-17	CDGH	Low
2016-05-17	IJ	High
2016-05-17	KLZ	Low
2016-05-17	QRSTY	Low
2016-05-18	ABEF	Low
2016-05-18	CDGH	Low
2016-05-18	IJ	High
2016-05-18	KLZ	Low
2016-05-18	QRSTY	Low
2016-05-19	ABEF	Low
2016-05-19	CDGH	Low
2016-05-19	IJ	High
2016-05-19	KLZ	Low
2016-05-19	QRSTY	Low
2016-05-20	ABEF	Low
2016-05-20	CDGH	Low
2016-05-20	IJ	High
2016-05-20	KLZ	Low
2016-05-20	QRSTY	Low
2016-05-21	ABEF	Low
2016-05-21	CDGH	Low
2016-05-21	IJ	High
2016-05-21	KLZ	Low
2016-05-21	QRSTY	Low
2016-05-22	ABEF	Low
2016-05-22	CDGH	Low
2016-05-22	IJ	High
2016-05-22	KLZ	Low
2016-05-22	QRSTY	Low
2016-05-23	ABEF	Low
2016-05-23	CDGH	Low
2016-05-23	IJ	High
2016-05-23	KLZ	Low
2016-05-23	QRSTY	Low
2016-05-24	ABEF	Low
2016-05-24	CDGH	Low
2016-05-24	IJ	High
2016-05-24	KLZ	Low
2016-05-24	QRSTY	Low
2016-05-25	ABEF	Low
2016-05-25	CDGH	Low
2016-05-25	IJ	High
2016-05-25	KLZ	Low
2016-05-25	QRSTY	Low
2016-05-26	ABEF	Low
2016-05-26	CDGH	Low
2016-05-26	IJ	High
2016-05-26	KLZ	Low
2016-05-26	QRSTY	Low
2016-05-27	ABEF	Low
2016-05-27	CDGH	Low
2016-05-27	IJ	High
2016-05-27	KLZ	Low
2016-05-27	QRSTY	Low
2016-05-28	ABEF	Low
2016-05-28	CDGH	Low
2016-05-28	IJ	High
2016-05-28	KLZ	Low
2016-05-28	QRSTY	Low
2016-05-29	ABEF	Low
2016-05-29	CDGH	Low
2016-05-29	IJ	High
2016-05-29	KLZ	Low
2016-05-29	QRSTY	Low
2016-05-30	ABEF	Low
2016-05-30	CDGH	Low
2016-05-30	IJ	High
2016-05-30	KLZ	Low
2016-05-30	QRSTY	Low
2016-05-31	ABEF	Low
2016-05-31	CDGH	Low
2016-05-31	IJ	High
2016-05-31	KLZ	Low
2016-05-31	QRSTY	Low
2016-06-01	ABEF	Mid
2016-06-01	CDGH	Mid
2016-06-01	IJ	Low
2016-06-01	KLZ	Mid
2016-06-01	QRSTY	Low
2016-06-02	ABEF	Mid
2016-06-02	CDGH	Mid
2016-06-02	IJ	Low
2016-06-02	KLZ	Mid
2016-06-02	QRSTY	Low
2016-06-03	ABEF	Mid
2016-06-03	CDGH	Mid
2016-06-03	IJ	Low
2016-06-03	KLZ	Mid
2016-06-03	QRSTY	Low
2016-06-04	ABEF	Mid
2016-06-04	CDGH	Mid
2016-06-04	IJ	Low
2016-06-04	KLZ	Mid
2016-06-04	QRSTY	Low
2016-06-05	ABEF	Mid
2016-06-05	CDGH	Mid
2016-06-05	IJ	Low
2016-06-05	KLZ	Mid
2016-06-05	QRSTY	Low
2016-06-06	ABEF	Ramadan
2016-06-06	CDGH	Ramadan
2016-06-06	IJ	Ramadan
2016-06-06	KLZ	Ramadan
2016-06-06	QRSTY	Ramadan
2016-06-07	ABEF	Ramadan
2016-06-07	CDGH	Ramadan
2016-06-07	IJ	Ramadan
2016-06-07	KLZ	Ramadan
2016-06-07	QRSTY	Ramadan
2016-06-08	ABEF	Ramadan
2016-06-08	CDGH	Ramadan
2016-06-08	IJ	Ramadan
2016-06-08	KLZ	Ramadan
2016-06-08	QRSTY	Ramadan
2016-06-09	ABEF	Ramadan
2016-06-09	CDGH	Ramadan
2016-06-09	IJ	Ramadan
2016-06-09	KLZ	Ramadan
2016-06-09	QRSTY	Ramadan
2016-06-10	ABEF	Ramadan
2016-06-10	CDGH	Ramadan
2016-06-10	IJ	Ramadan
2016-06-10	KLZ	Ramadan
2016-06-10	QRSTY	Ramadan
2016-06-11	ABEF	Ramadan
2016-06-11	CDGH	Ramadan
2016-06-11	IJ	Ramadan
2016-06-11	KLZ	Ramadan
2016-06-11	QRSTY	Ramadan
2016-06-12	ABEF	Ramadan
2016-06-12	CDGH	Ramadan
2016-06-12	IJ	Ramadan
2016-06-12	KLZ	Ramadan
2016-06-12	QRSTY	Ramadan
2016-06-13	ABEF	Ramadan
2016-06-13	CDGH	Ramadan
2016-06-13	IJ	Ramadan
2016-06-13	KLZ	Ramadan
2016-06-13	QRSTY	Ramadan
2016-06-14	ABEF	Ramadan
2016-06-14	CDGH	Ramadan
2016-06-14	IJ	Ramadan
2016-06-14	KLZ	Ramadan
2016-06-14	QRSTY	Ramadan
2016-06-15	ABEF	Ramadan
2016-06-15	CDGH	Ramadan
2016-06-15	IJ	Ramadan
2016-06-15	KLZ	Ramadan
2016-06-15	QRSTY	Ramadan
2016-06-16	ABEF	Ramadan
2016-06-16	CDGH	Ramadan
2016-06-16	IJ	Ramadan
2016-06-16	KLZ	Ramadan
2016-06-16	QRSTY	Ramadan
2016-06-17	ABEF	Ramadan
2016-06-17	CDGH	Ramadan
2016-06-17	IJ	Ramadan
2016-06-17	KLZ	Ramadan
2016-06-17	QRSTY	Ramadan
2016-06-18	ABEF	Ramadan
2016-06-18	CDGH	Ramadan
2016-06-18	IJ	Ramadan
2016-06-18	KLZ	Ramadan
2016-06-18	QRSTY	Ramadan
2016-06-19	ABEF	Ramadan
2016-06-19	CDGH	Ramadan
2016-06-19	IJ	Ramadan
2016-06-19	KLZ	Ramadan
2016-06-19	QRSTY	Ramadan
2016-06-20	ABEF	Ramadan
2016-06-20	CDGH	Ramadan
2016-06-20	IJ	Ramadan
2016-06-20	KLZ	Ramadan
2016-06-20	QRSTY	Ramadan
2016-06-21	ABEF	Ramadan
2016-06-21	CDGH	Ramadan
2016-06-21	IJ	Ramadan
2016-06-21	KLZ	Ramadan
2016-06-21	QRSTY	Ramadan
2016-06-22	ABEF	Ramadan
2016-06-22	CDGH	Ramadan
2016-06-22	IJ	Ramadan
2016-06-22	KLZ	Ramadan
2016-06-22	QRSTY	Ramadan
2016-06-23	ABEF	Ramadan
2016-06-23	CDGH	Ramadan
2016-06-23	IJ	Ramadan
2016-06-23	KLZ	Ramadan
2016-06-23	QRSTY	Ramadan
2016-06-24	ABEF	Ramadan
2016-06-24	CDGH	Ramadan
2016-06-24	IJ	Ramadan
2016-06-24	KLZ	Ramadan
2016-06-24	QRSTY	Ramadan
2016-06-25	ABEF	Ramadan
2016-06-25	CDGH	Ramadan
2016-06-25	IJ	Ramadan
2016-06-25	KLZ	Ramadan
2016-06-25	QRSTY	Ramadan
2016-06-26	ABEF	Ramadan
2016-06-26	CDGH	Ramadan
